TimeStep,Field_U_Center,MaxDeviation_U,StepDuration
0,10.400000,9.400000,0.026145
1,9.842000,8.842000,0.022718
2,9.322760,8.322760,0.022677
3,8.839308,7.839308,0.022605
4,8.388917,7.388917,0.023405
5,7.969084,6.969084,0.022658
6,7.577509,6.577509,0.022748
7,7.212079,6.212079,0.022727
8,6.870852,5.870852,0.023728
9,6.552041,5.552041,0.022663
10,6.254002,5.254002,0.022766
11,5.975222,4.975222,0.022629
12,5.714306,4.714306,0.022627
13,5.469970,4.469970,0.023127
14,5.241031,4.241031,0.022635
15,5.026395,4.026395,0.022600
16,4.825055,3.825055,0.022668
17,4.636081,3.636081,0.022645
18,4.458613,3.458613,0.022641
19,4.291858,3.291858,0.022694
20,4.135080,3.135080,0.022693
21,3.987602,2.987602,0.022606
22,3.848794,2.848794,0.022707
23,3.718074,2.718074,0.022662
24,3.594905,2.594905,0.023733
25,3.478786,2.478786,0.024067
26,3.369254,2.369254,0.022679
27,3.265880,2.265880,0.022711
28,3.168265,2.168265,0.022612
29,3.076039,2.076039,0.022663
30,2.988859,1.988859,0.022654
31,2.906405,1.906405,0.022785
32,2.828380,1.828380,0.022807
33,2.754507,1.754507,0.022637
34,2.684530,1.684530,0.022974
35,2.618208,1.618208,0.022696
36,2.555320,1.555320,0.022648
37,2.495656,1.495656,0.022658
38,2.439024,1.439024,0.022613
39,2.385243,1.385243,0.022723
40,2.334143,1.334143,0.022698
41,2.285568,1.285568,0.022782
42,2.239369,1.239369,0.022751
43,2.195410,1.195410,0.022714
44,2.153562,1.153562,0.022680
45,2.113704,1.113704,0.022657
46,2.075724,1.075724,0.022685
47,2.039518,1.039518,0.022586
48,2.004985,1.004985,0.022617
49,1.972034,0.972034,0.022721
50,1.940577,0.940577,0.022688
51,1.910534,0.910534,0.022624
52,1.881828,0.881828,0.022661
53,1.854387,0.854387,0.022614
54,1.828145,0.828145,0.022659
55,1.803038,0.803038,0.022939
56,1.779006,0.779006,0.022736
57,1.755994,0.755994,0.022733
58,1.733950,0.733950,0.022746
59,1.712823,0.712823,0.023256
60,1.692567,0.692567,0.022618
61,1.673138,0.673138,0.022638
62,1.654496,0.654496,0.022653
63,1.636600,0.636600,0.022679
64,1.619415,0.619415,0.024397
65,1.602905,0.602905,0.022724
66,1.587039,0.587039,0.022774
67,1.571784,0.571784,0.022632
68,1.557112,0.557112,0.022631
69,1.542995,0.542995,0.022633
70,1.529407,0.529407,0.022693
71,1.516324,0.516324,0.022704
72,1.503722,0.503722,0.022636
73,1.491579,0.491579,0.022620
74,1.479875,0.479875,0.022671
75,1.468588,0.468588,0.022677
76,1.457702,0.457702,0.022623
77,1.447197,0.447197,0.022615
78,1.437057,0.437057,0.022664
79,1.427267,0.427267,0.022700
80,1.417810,0.417810,0.022699
81,1.408673,0.408673,0.022905
82,1.399841,0.399841,0.022750
83,1.391303,0.391303,0.022630
84,1.383044,0.383044,0.022769
85,1.375055,0.375055,0.024249
86,1.367323,0.367323,0.022969
87,1.359838,0.359838,0.022773
88,1.352590,0.352590,0.022733
89,1.345569,0.345569,0.022845
90,1.338766,0.338766,0.022703
91,1.332173,0.332173,0.022817
92,1.325781,0.325781,0.023280
93,1.319582,0.319582,0.023147
94,1.313569,0.313569,0.023175
95,1.307734,0.307734,0.022859
96,1.302070,0.302070,0.027336
97,1.296572,0.296572,0.022960
98,1.291233,0.291233,0.022787
99,1.286046,0.286046,0.022886
