Size, Total,Size_eval, Average,Time_per_Byte
0,0.002777,0,2.777e-06,inf
64,0.003427,64,3.427e-06,5.3546875e-08
512,0.00573,512,5.73e-06,1.119140625e-08
1024,0.006158,1024,6.158e-06,6.013671875e-09
1024*4,0.01076,4096,1.076e-05,2.626953125e-09
1024*64,0.05347,65536,5.347e-05,8.15887451171875e-10
1024*256,0.186072,262144,0.000186072,7.09808349609375e-10
1024*1024,0.288659,1048576,0.000288659,2.752866744995117e-10
1024*1024*2,0.362624,2097152,0.000362624,1.7291259765625e-10
1024*1024*4,0.733727,4194304,0.000733727,1.7493414878845215e-10
1024*1024*6,1.08719,6291456,0.00108719,1.7280419667561849e-10
1024*1024*8,1.386965,8388608,0.001386965,1.6533911228179931e-10
1024*1024*12,3.523153,12582912,0.003523153,2.7999504407246906e-10
1024*1024*16,4.135102,16777216,0.004135102,2.464712858200073e-10
1024*1024*24,6.139946,25165824,0.006139946,2.4397953351338704e-10
1024*1024*30,5.13475,31457280,0.00513475,1.6322930653889976e-10
1024*1024*32,5.481377,33554432,0.005481377,1.6335776448249817e-10
